nama_penyakit,apakah_menurun,matched_penyakit,obat_pertolongan_pertama,penyakit_perkembangan
Gastritis,FALSE,"Bipolar, COVID-19, Kanker Payudara","Antasida, Omeprazole",Ulkus Lambung
Gastritis,TRUE,"Gastritis, Bipolar","Antasida, Omeprazole",Ulkus Lambung
Rubella,FALSE,Skizofrenia,"Vaksinasi, Istirahat",Cacat Janin
Kanker Kolorektal,TRUE,"Kanker Prostat, Malaria, Parkinson","Operasi, Kemoterapi",Metastasis ke Liver
Serangan Jantung,FALSE,Influenza,"Aspirin, Nitrat",Gagal Jantung
Tifus,TRUE,"Influenza, Campak","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Serangan Jantung,FALSE,"Asma, Gagal Ginjal, Cacar Air","Aspirin, Nitrat",Gagal Jantung
Cacar Air,TRUE,"Rubella, Serangan Jantung, Cacar Air","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Bipolar,TRUE,"Gagal Ginjal, Epilepsi","Lithium, Antidepresan",Depresi Kronis
Gagal Ginjal,TRUE,"Tifus, Diabetes Mellitus, Pneumonia","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Artritis Reumatoid,TRUE,Hipertensi,"NSAID, Metotreksat",Deformitas Sendi
Rubella,TRUE,"COVID-19, Malaria, Depresi Mayor","Vaksinasi, Istirahat",Cacat Janin
Tifus,TRUE,"Parkinson, Kanker Paru-paru, Depresi Mayor","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Kanker Paru-paru,TRUE,"Kanker Prostat, Serangan Jantung","Kemoterapi, Radioterapi",Metastasis ke Otak
Parkinson,FALSE,Hemofilia,"Levodopa, Pramipexole",Gangguan Gerak Berat
Anemia,TRUE,"Hepatitis B, Diare Akut, COVID-19","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Hepatitis C,FALSE,"Parkinson, Alzheimer","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Prostat,FALSE,Osteoporosis,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Kanker Kolorektal,TRUE,"Kanker Prostat, Tifus, Bronkitis","Operasi, Kemoterapi",Metastasis ke Liver
Rubella,TRUE,"Epilepsi, Asma, Tuberkulosis","Vaksinasi, Istirahat",Cacat Janin
Parkinson,TRUE,"Kanker Payudara, Bronkitis","Levodopa, Pramipexole",Gangguan Gerak Berat
Demam Berdarah,TRUE,"Hepatitis B, Malaria, Pneumonia","Rehidrasi, Paracetamol",Syok Dengue
Kanker Paru-paru,FALSE,Cacar Air,"Kemoterapi, Radioterapi",Metastasis ke Otak
Gagal Ginjal,FALSE,"Hepatitis C, Gagal Ginjal","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Alzheimer,FALSE,"Tuberkulosis, Pneumonia","Donepezil, Memantine",Demensia Berat
Alzheimer,FALSE,"Osteoporosis, Epilepsi, Hepatitis C","Donepezil, Memantine",Demensia Berat
Demam Berdarah,FALSE,"Kanker Kolorektal, Influenza","Rehidrasi, Paracetamol",Syok Dengue
Anemia,FALSE,Hepatitis B,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Gastritis,TRUE,Rubella,"Antasida, Omeprazole",Ulkus Lambung
Kanker Prostat,FALSE,"Parkinson, Kanker Paru-paru, Depresi Mayor","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Malaria,FALSE,"Rubella, Bronkitis, Tifus","Klorokuin, Artemisinin",Anemia Berat
Cacar Air,TRUE,Artritis Reumatoid,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Tifus,FALSE,Epilepsi,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Artritis Reumatoid,FALSE,Artritis Reumatoid,"NSAID, Metotreksat",Deformitas Sendi
Bronkitis,FALSE,Osteoporosis,"Dextromethorphan, Amoksisilin",Pneumonia
Hepatitis C,FALSE,"Migraine, Kanker Prostat, Osteoporosis","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Campak,FALSE,"Hemofilia, Diabetes Mellitus, Campak","Vitamin A, Paracetamol",Ensefalitis
Kanker Paru-paru,FALSE,Gastritis,"Kemoterapi, Radioterapi",Metastasis ke Otak
Kanker Prostat,TRUE,"Bipolar, Osteoporosis","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Hepatitis C,FALSE,"Cacar Air, Gastritis, Parkinson","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Influenza,TRUE,Gastritis,"Oseltamivir, Paracetamol",Pneumonia
Depresi Mayor,TRUE,"Alzheimer, Kanker Paru-paru, Parkinson","SSRI, Psikoterapi",Bunuh Diri
Hepatitis C,FALSE,"Bipolar, Diabetes Mellitus","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Cacar Air,FALSE,Kanker Paru-paru,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Stroke,FALSE,Anemia,"Antikoagulan, Rehabilitasi",Kelumpuhan
Kanker Paru-paru,FALSE,"Demam Berdarah, Campak, Hipertensi","Kemoterapi, Radioterapi",Metastasis ke Otak
Migraine,TRUE,Hipertensi,"Sumatriptan, Parasetamol",Gangguan Tidur
Influenza,TRUE,Kanker Prostat,"Oseltamivir, Paracetamol",Pneumonia
Artritis Reumatoid,TRUE,"Gastritis, Campak, COVID-19","NSAID, Metotreksat",Deformitas Sendi
Pneumonia,TRUE,"Hipertensi, Tifus","Azitromisin, Ceftriaxone",Sepsis
Kanker Paru-paru,FALSE,"Bronkitis, Epilepsi","Kemoterapi, Radioterapi",Metastasis ke Otak
Kanker Kolorektal,FALSE,"Diabetes Mellitus, Gagal Ginjal","Operasi, Kemoterapi",Metastasis ke Liver
Alzheimer,TRUE,"Alzheimer, Asma, Cacar Air","Donepezil, Memantine",Demensia Berat
Asma,TRUE,"Tuberkulosis, Stroke, Cacar Air","Salbutamol, Budesonide",Gagal Napas
Bronkitis,TRUE,"Kanker Kolorektal, Anemia, Hemofilia","Dextromethorphan, Amoksisilin",Pneumonia
Rubella,FALSE,"Demam Berdarah, Stroke","Vaksinasi, Istirahat",Cacat Janin
COVID-19,FALSE,Kanker Prostat,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Campak,FALSE,"Influenza, Diabetes Mellitus, Depresi Mayor","Vitamin A, Paracetamol",Ensefalitis
Diabetes Mellitus,TRUE,"Gastritis, Kanker Prostat, Pneumonia","Insulin, Metformin","Gagal Ginjal, Neuropati"
Gagal Ginjal,FALSE,Pneumonia,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Cacar Air,FALSE,Hemofilia,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Diabetes Mellitus,TRUE,"Kanker Payudara, Gastritis, Epilepsi","Insulin, Metformin","Gagal Ginjal, Neuropati"
Diare Akut,FALSE,Anemia,"Oralit, Loperamide",Dehidrasi Parah
Serangan Jantung,FALSE,Parkinson,"Aspirin, Nitrat",Gagal Jantung
Campak,FALSE,"COVID-19, Hipertensi, Gastritis","Vitamin A, Paracetamol",Ensefalitis
Influenza,TRUE,"Diabetes Mellitus, Kanker Kolorektal","Oseltamivir, Paracetamol",Pneumonia
Bipolar,TRUE,Tifus,"Lithium, Antidepresan",Depresi Kronis
Migraine,FALSE,"Hemofilia, Gastritis, Diabetes Mellitus","Sumatriptan, Parasetamol",Gangguan Tidur
Osteoporosis,FALSE,"Asma, Gastritis","Kalsium, Vitamin D",Fraktur Tulang
Tifus,FALSE,"Malaria, Kanker Kolorektal, Demam Berdarah","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Cacar Air,TRUE,Serangan Jantung,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Influenza,FALSE,"Bronkitis, Kanker Payudara","Oseltamivir, Paracetamol",Pneumonia
Epilepsi,TRUE,"Skizofrenia, Bronkitis, COVID-19","Fenitoin, Valproat",Gangguan Kognitif
Diare Akut,TRUE,Hipertensi,"Oralit, Loperamide",Dehidrasi Parah
Osteoporosis,TRUE,"Kanker Paru-paru, Bronkitis","Kalsium, Vitamin D",Fraktur Tulang
Tuberkulosis,FALSE,"Kanker Payudara, Epilepsi","Rifampisin, Isoniazid",Gagal Paru
Stroke,TRUE,Kanker Prostat,"Antikoagulan, Rehabilitasi",Kelumpuhan
Skizofrenia,FALSE,"Hepatitis B, Kanker Payudara, Hepatitis C","Risperidone, Olanzapine",Disabilitas Sosial
Influenza,FALSE,"COVID-19, Stroke, Bronkitis","Oseltamivir, Paracetamol",Pneumonia
Diare Akut,TRUE,"Skizofrenia, Influenza, Asma","Oralit, Loperamide",Dehidrasi Parah
Epilepsi,TRUE,"Diare Akut, COVID-19, Hipertensi","Fenitoin, Valproat",Gangguan Kognitif
Serangan Jantung,FALSE,Kanker Kolorektal,"Aspirin, Nitrat",Gagal Jantung
Epilepsi,TRUE,"Hemofilia, Kanker Paru-paru, Artritis Reumatoid","Fenitoin, Valproat",Gangguan Kognitif
Bipolar,FALSE,"Demam Berdarah, Serangan Jantung, Osteoporosis","Lithium, Antidepresan",Depresi Kronis
Pneumonia,TRUE,"Pneumonia, Gagal Ginjal","Azitromisin, Ceftriaxone",Sepsis
Influenza,FALSE,"Cacar Air, Bronkitis, Hepatitis B","Oseltamivir, Paracetamol",Pneumonia
Campak,FALSE,"Bipolar, Hipertensi, Epilepsi","Vitamin A, Paracetamol",Ensefalitis
Kanker Kolorektal,TRUE,"Malaria, Gastritis, Tuberkulosis","Operasi, Kemoterapi",Metastasis ke Liver
Migraine,TRUE,"Malaria, Parkinson, Stroke","Sumatriptan, Parasetamol",Gangguan Tidur
Pneumonia,FALSE,"Pneumonia, Bronkitis, Osteoporosis","Azitromisin, Ceftriaxone",Sepsis
Demam Berdarah,TRUE,"Kanker Prostat, Gastritis","Rehidrasi, Paracetamol",Syok Dengue
Campak,FALSE,"Stroke, Diabetes Mellitus","Vitamin A, Paracetamol",Ensefalitis
Gagal Ginjal,TRUE,"Migraine, Diare Akut, COVID-19","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Asma,FALSE,"Rubella, Diabetes Mellitus, Hepatitis B","Salbutamol, Budesonide",Gagal Napas
Asma,TRUE,"COVID-19, Gastritis","Salbutamol, Budesonide",Gagal Napas
Kanker Paru-paru,FALSE,"Parkinson, Serangan Jantung","Kemoterapi, Radioterapi",Metastasis ke Otak
Parkinson,TRUE,Depresi Mayor,"Levodopa, Pramipexole",Gangguan Gerak Berat
Diabetes Mellitus,TRUE,Artritis Reumatoid,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Tifus,FALSE,"Alzheimer, Gastritis, Campak","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Kanker Prostat,FALSE,"Depresi Mayor, Gastritis","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Gastritis,TRUE,"Serangan Jantung, Kanker Payudara","Antasida, Omeprazole",Ulkus Lambung
Hipertensi,FALSE,Hemofilia,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Gagal Ginjal,FALSE,"Hipertensi, Hepatitis C, Diabetes Mellitus","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Influenza,TRUE,"Influenza, Hepatitis C, Gagal Ginjal","Oseltamivir, Paracetamol",Pneumonia
Kanker Paru-paru,TRUE,"Alzheimer, Epilepsi","Kemoterapi, Radioterapi",Metastasis ke Otak
Parkinson,TRUE,"Influenza, Hipertensi","Levodopa, Pramipexole",Gangguan Gerak Berat
Epilepsi,FALSE,Diare Akut,"Fenitoin, Valproat",Gangguan Kognitif
Diare Akut,TRUE,"Diare Akut, Serangan Jantung, Kanker Paru-paru","Oralit, Loperamide",Dehidrasi Parah
Kanker Prostat,FALSE,Bipolar,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Alzheimer,TRUE,"Diabetes Mellitus, Migraine, Skizofrenia","Donepezil, Memantine",Demensia Berat
Pneumonia,FALSE,"Kanker Payudara, Skizofrenia, Kanker Kolorektal","Azitromisin, Ceftriaxone",Sepsis
Hipertensi,FALSE,Kanker Kolorektal,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Kanker Kolorektal,FALSE,Tuberkulosis,"Operasi, Kemoterapi",Metastasis ke Liver
Artritis Reumatoid,FALSE,Alzheimer,"NSAID, Metotreksat",Deformitas Sendi
Migraine,FALSE,Cacar Air,"Sumatriptan, Parasetamol",Gangguan Tidur
Stroke,TRUE,Diabetes Mellitus,"Antikoagulan, Rehabilitasi",Kelumpuhan
Rubella,TRUE,"Artritis Reumatoid, Osteoporosis","Vaksinasi, Istirahat",Cacat Janin
Serangan Jantung,FALSE,"Tifus, Tuberkulosis","Aspirin, Nitrat",Gagal Jantung
Kanker Payudara,FALSE,"Tuberkulosis, Hipertensi, COVID-19","Kemoterapi, Mastektomi",Metastasis ke Tulang
Hepatitis B,TRUE,"Hipertensi, Kanker Prostat","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Kanker Paru-paru,FALSE,"Artritis Reumatoid, Influenza","Kemoterapi, Radioterapi",Metastasis ke Otak
Alzheimer,FALSE,Parkinson,"Donepezil, Memantine",Demensia Berat
Asma,FALSE,"Malaria, Kanker Paru-paru, Alzheimer","Salbutamol, Budesonide",Gagal Napas
Alzheimer,FALSE,"Kanker Prostat, Tuberkulosis","Donepezil, Memantine",Demensia Berat
Kanker Prostat,TRUE,"Skizofrenia, Diabetes Mellitus, Kanker Paru-paru","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Epilepsi,TRUE,Depresi Mayor,"Fenitoin, Valproat",Gangguan Kognitif
Demam Berdarah,TRUE,"Hipertensi, Parkinson, Diare Akut","Rehidrasi, Paracetamol",Syok Dengue
Kanker Payudara,FALSE,Hepatitis C,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Rubella,FALSE,"Bipolar, Tuberkulosis, Epilepsi","Vaksinasi, Istirahat",Cacat Janin
Diabetes Mellitus,TRUE,"Hemofilia, Diare Akut","Insulin, Metformin","Gagal Ginjal, Neuropati"
Hemofilia,TRUE,Hemofilia,Transfusi Faktor VIII,Pendarahan Internal
Serangan Jantung,TRUE,"Tifus, Anemia, Stroke","Aspirin, Nitrat",Gagal Jantung
Migraine,FALSE,Kanker Prostat,"Sumatriptan, Parasetamol",Gangguan Tidur
Campak,TRUE,Bronkitis,"Vitamin A, Paracetamol",Ensefalitis
Hepatitis C,TRUE,"Skizofrenia, Influenza","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Depresi Mayor,TRUE,Demam Berdarah,"SSRI, Psikoterapi",Bunuh Diri
Hipertensi,TRUE,Kanker Kolorektal,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Malaria,FALSE,"Artritis Reumatoid, Influenza","Klorokuin, Artemisinin",Anemia Berat
Migraine,FALSE,"Migraine, Stroke","Sumatriptan, Parasetamol",Gangguan Tidur
Depresi Mayor,TRUE,Kanker Kolorektal,"SSRI, Psikoterapi",Bunuh Diri
Hepatitis C,TRUE,Kanker Prostat,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Pneumonia,TRUE,"Alzheimer, Tifus","Azitromisin, Ceftriaxone",Sepsis
Stroke,TRUE,Kanker Kolorektal,"Antikoagulan, Rehabilitasi",Kelumpuhan
Campak,FALSE,Malaria,"Vitamin A, Paracetamol",Ensefalitis
Demam Berdarah,FALSE,Gagal Ginjal,"Rehidrasi, Paracetamol",Syok Dengue
Tifus,TRUE,Tifus,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Depresi Mayor,TRUE,"Demam Berdarah, Rubella","SSRI, Psikoterapi",Bunuh Diri
Rubella,FALSE,"Epilepsi, Bipolar","Vaksinasi, Istirahat",Cacat Janin
Gastritis,TRUE,"Parkinson, Tuberkulosis","Antasida, Omeprazole",Ulkus Lambung
Diabetes Mellitus,FALSE,"Anemia, Kanker Kolorektal, Influenza","Insulin, Metformin","Gagal Ginjal, Neuropati"
Migraine,TRUE,"Anemia, Kanker Paru-paru","Sumatriptan, Parasetamol",Gangguan Tidur
Kanker Kolorektal,TRUE,"Influenza, Tuberkulosis","Operasi, Kemoterapi",Metastasis ke Liver
Parkinson,FALSE,"Hipertensi, Kanker Kolorektal","Levodopa, Pramipexole",Gangguan Gerak Berat
Diabetes Mellitus,TRUE,"Tuberkulosis, Campak, Bipolar","Insulin, Metformin","Gagal Ginjal, Neuropati"
Gagal Ginjal,FALSE,"Kanker Paru-paru, Hipertensi","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Asma,TRUE,"Hepatitis C, Diabetes Mellitus","Salbutamol, Budesonide",Gagal Napas
Osteoporosis,TRUE,Cacar Air,"Kalsium, Vitamin D",Fraktur Tulang
Gagal Ginjal,TRUE,"Hemofilia, Migraine, Diare Akut","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Hepatitis C,FALSE,"Asma, Gagal Ginjal","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Skizofrenia,FALSE,"Alzheimer, Migraine","Risperidone, Olanzapine",Disabilitas Sosial
Kanker Prostat,TRUE,Hepatitis B,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Hepatitis B,FALSE,"Hepatitis B, Kanker Prostat, Hipertensi","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Diare Akut,TRUE,"Asma, Hemofilia, Tifus","Oralit, Loperamide",Dehidrasi Parah
Tifus,FALSE,"Epilepsi, Demam Berdarah, Osteoporosis","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Bipolar,FALSE,"Anemia, Hepatitis B","Lithium, Antidepresan",Depresi Kronis
Hepatitis B,FALSE,"Campak, Skizofrenia, Bipolar","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Hemofilia,TRUE,"Diare Akut, Gastritis, Skizofrenia",Transfusi Faktor VIII,Pendarahan Internal
Kanker Payudara,TRUE,"Hemofilia, Bipolar, Gagal Ginjal","Kemoterapi, Mastektomi",Metastasis ke Tulang
Kanker Prostat,FALSE,"Skizofrenia, Cacar Air","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Epilepsi,TRUE,Campak,"Fenitoin, Valproat",Gangguan Kognitif
Stroke,FALSE,"Kanker Prostat, Malaria","Antikoagulan, Rehabilitasi",Kelumpuhan
Migraine,TRUE,Hemofilia,"Sumatriptan, Parasetamol",Gangguan Tidur
Tuberkulosis,TRUE,"Depresi Mayor, Alzheimer, Campak","Rifampisin, Isoniazid",Gagal Paru
Epilepsi,FALSE,"Parkinson, Diabetes Mellitus, Kanker Payudara","Fenitoin, Valproat",Gangguan Kognitif
Kanker Kolorektal,TRUE,"Rubella, Serangan Jantung, Alzheimer","Operasi, Kemoterapi",Metastasis ke Liver
Hepatitis C,FALSE,Hipertensi,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Depresi Mayor,FALSE,Kanker Kolorektal,"SSRI, Psikoterapi",Bunuh Diri
Campak,TRUE,Influenza,"Vitamin A, Paracetamol",Ensefalitis
Artritis Reumatoid,TRUE,"Hemofilia, COVID-19, Bronkitis","NSAID, Metotreksat",Deformitas Sendi
Alzheimer,FALSE,"Malaria, Rubella, Diare Akut","Donepezil, Memantine",Demensia Berat
Diare Akut,TRUE,Tifus,"Oralit, Loperamide",Dehidrasi Parah
Bronkitis,FALSE,"Hipertensi, Malaria","Dextromethorphan, Amoksisilin",Pneumonia
Depresi Mayor,TRUE,"Gagal Ginjal, Depresi Mayor, Parkinson","SSRI, Psikoterapi",Bunuh Diri
Gagal Ginjal,FALSE,Osteoporosis,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Hemofilia,FALSE,"Alzheimer, Skizofrenia, Influenza",Transfusi Faktor VIII,Pendarahan Internal
Campak,FALSE,"Artritis Reumatoid, Malaria","Vitamin A, Paracetamol",Ensefalitis
Serangan Jantung,FALSE,"Gastritis, Hepatitis C","Aspirin, Nitrat",Gagal Jantung
Parkinson,FALSE,Hepatitis B,"Levodopa, Pramipexole",Gangguan Gerak Berat
Kanker Payudara,FALSE,COVID-19,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Osteoporosis,TRUE,Hemofilia,"Kalsium, Vitamin D",Fraktur Tulang
Epilepsi,FALSE,Bipolar,"Fenitoin, Valproat",Gangguan Kognitif
Serangan Jantung,FALSE,Diare Akut,"Aspirin, Nitrat",Gagal Jantung
Depresi Mayor,FALSE,"Serangan Jantung, Epilepsi","SSRI, Psikoterapi",Bunuh Diri
Serangan Jantung,FALSE,"Tuberkulosis, Diabetes Mellitus","Aspirin, Nitrat",Gagal Jantung
Cacar Air,FALSE,Hemofilia,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Rubella,TRUE,"Hepatitis C, Kanker Paru-paru","Vaksinasi, Istirahat",Cacat Janin
Malaria,TRUE,"Migraine, Hipertensi, Campak","Klorokuin, Artemisinin",Anemia Berat
Influenza,FALSE,"Stroke, Asma, Anemia","Oseltamivir, Paracetamol",Pneumonia
Kanker Paru-paru,TRUE,"Parkinson, Campak","Kemoterapi, Radioterapi",Metastasis ke Otak
Depresi Mayor,TRUE,"Artritis Reumatoid, Pneumonia","SSRI, Psikoterapi",Bunuh Diri
Malaria,TRUE,Anemia,"Klorokuin, Artemisinin",Anemia Berat
Osteoporosis,FALSE,Hepatitis B,"Kalsium, Vitamin D",Fraktur Tulang
Kanker Prostat,TRUE,"Depresi Mayor, Influenza, Skizofrenia","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Hepatitis C,TRUE,"Serangan Jantung, Kanker Payudara","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
COVID-19,FALSE,"Hepatitis B, Epilepsi, Asma","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Tifus,FALSE,"Hepatitis C, Hipertensi, Influenza","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Tuberkulosis,TRUE,"Migraine, Serangan Jantung, Epilepsi","Rifampisin, Isoniazid",Gagal Paru
COVID-19,FALSE,"Rubella, Stroke, Influenza","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Artritis Reumatoid,FALSE,Kanker Paru-paru,"NSAID, Metotreksat",Deformitas Sendi
Artritis Reumatoid,TRUE,Demam Berdarah,"NSAID, Metotreksat",Deformitas Sendi
Skizofrenia,FALSE,Malaria,"Risperidone, Olanzapine",Disabilitas Sosial
Bronkitis,TRUE,"COVID-19, Artritis Reumatoid, Bipolar","Dextromethorphan, Amoksisilin",Pneumonia
Diabetes Mellitus,TRUE,"Hepatitis B, Asma, Kanker Kolorektal","Insulin, Metformin","Gagal Ginjal, Neuropati"
Diare Akut,TRUE,"COVID-19, Hepatitis B, Anemia","Oralit, Loperamide",Dehidrasi Parah
Serangan Jantung,TRUE,Cacar Air,"Aspirin, Nitrat",Gagal Jantung
Kanker Payudara,FALSE,"Kanker Kolorektal, Diabetes Mellitus","Kemoterapi, Mastektomi",Metastasis ke Tulang
COVID-19,TRUE,Hemofilia,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Influenza,TRUE,Depresi Mayor,"Oseltamivir, Paracetamol",Pneumonia
Campak,TRUE,"Tifus, Kanker Prostat, Bipolar","Vitamin A, Paracetamol",Ensefalitis
Depresi Mayor,TRUE,Tifus,"SSRI, Psikoterapi",Bunuh Diri
Pneumonia,TRUE,"Diare Akut, Gagal Ginjal","Azitromisin, Ceftriaxone",Sepsis
Kanker Prostat,TRUE,COVID-19,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
COVID-19,TRUE,"Epilepsi, Kanker Payudara","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Depresi Mayor,FALSE,Diare Akut,"SSRI, Psikoterapi",Bunuh Diri
Hemofilia,TRUE,"Tuberkulosis, Kanker Kolorektal, Epilepsi",Transfusi Faktor VIII,Pendarahan Internal
Alzheimer,TRUE,Cacar Air,"Donepezil, Memantine",Demensia Berat
Malaria,FALSE,Alzheimer,"Klorokuin, Artemisinin",Anemia Berat
Hipertensi,TRUE,"Stroke, Rubella","Amlodipine, Captopril","Stroke, Serangan Jantung"
Kanker Prostat,TRUE,Kanker Prostat,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Asma,FALSE,"Bronkitis, COVID-19, Gastritis","Salbutamol, Budesonide",Gagal Napas
Hipertensi,FALSE,Hepatitis B,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Skizofrenia,TRUE,"Kanker Prostat, Pneumonia","Risperidone, Olanzapine",Disabilitas Sosial
Demam Berdarah,TRUE,"Diabetes Mellitus, Hepatitis B","Rehidrasi, Paracetamol",Syok Dengue
Kanker Prostat,TRUE,"Gagal Ginjal, Alzheimer, Stroke","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Epilepsi,FALSE,Depresi Mayor,"Fenitoin, Valproat",Gangguan Kognitif
Serangan Jantung,TRUE,"Cacar Air, Parkinson, Gastritis","Aspirin, Nitrat",Gagal Jantung
Artritis Reumatoid,TRUE,Campak,"NSAID, Metotreksat",Deformitas Sendi
Osteoporosis,TRUE,Hepatitis B,"Kalsium, Vitamin D",Fraktur Tulang
COVID-19,TRUE,"Pneumonia, Hepatitis C","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Bipolar,FALSE,Skizofrenia,"Lithium, Antidepresan",Depresi Kronis
Epilepsi,FALSE,Pneumonia,"Fenitoin, Valproat",Gangguan Kognitif
Alzheimer,FALSE,Stroke,"Donepezil, Memantine",Demensia Berat
Kanker Prostat,TRUE,"Artritis Reumatoid, Gagal Ginjal, Epilepsi","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Cacar Air,TRUE,Parkinson,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Tuberkulosis,TRUE,"Campak, Asma","Rifampisin, Isoniazid",Gagal Paru
Anemia,FALSE,Hemofilia,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Kanker Paru-paru,TRUE,"Demam Berdarah, Tifus","Kemoterapi, Radioterapi",Metastasis ke Otak
Demam Berdarah,FALSE,Kanker Payudara,"Rehidrasi, Paracetamol",Syok Dengue
Campak,FALSE,Skizofrenia,"Vitamin A, Paracetamol",Ensefalitis
Osteoporosis,TRUE,"Serangan Jantung, Depresi Mayor, Kanker Kolorektal","Kalsium, Vitamin D",Fraktur Tulang
Tuberkulosis,TRUE,Rubella,"Rifampisin, Isoniazid",Gagal Paru
Campak,FALSE,"Influenza, Anemia, Cacar Air","Vitamin A, Paracetamol",Ensefalitis
Anemia,TRUE,"Bronkitis, Rubella, Diabetes Mellitus","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Bipolar,TRUE,Skizofrenia,"Lithium, Antidepresan",Depresi Kronis
Diabetes Mellitus,FALSE,"Bronkitis, Hepatitis C, Cacar Air","Insulin, Metformin","Gagal Ginjal, Neuropati"
Anemia,FALSE,Demam Berdarah,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Anemia,TRUE,"Tifus, Bipolar, Kanker Paru-paru","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Rubella,FALSE,"Pneumonia, Gagal Ginjal, Tuberkulosis","Vaksinasi, Istirahat",Cacat Janin
Cacar Air,FALSE,"Influenza, Campak","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Kanker Paru-paru,TRUE,"Malaria, Kanker Kolorektal","Kemoterapi, Radioterapi",Metastasis ke Otak
Hemofilia,TRUE,"Serangan Jantung, Bronkitis, Kanker Paru-paru",Transfusi Faktor VIII,Pendarahan Internal
Rubella,FALSE,Artritis Reumatoid,"Vaksinasi, Istirahat",Cacat Janin
Gastritis,TRUE,"Rubella, Hemofilia, Depresi Mayor","Antasida, Omeprazole",Ulkus Lambung
Tifus,FALSE,Gagal Ginjal,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
